id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
27418,09035,BALAGUERES,09800,BALAGUERES,NULL,0101000020E6100000F12F82C64C42F03FEB35E26EB57B4540
27419,09035,BALAGUERES,09800,BALAGUERES,BALAGUE,0101000020E6100000F12F82C64C42F03FEB35E26EB57B4540
27420,09037,BARJAC,09230,BARJAC,NULL,0101000020E61000006A3B5C61B031F23FF6F29606D9874540
27421,09038,LA BASTIDE DE BESPLAS,09350,LA BASTIDE DE BESPLAS,NULL,0101000020E6100000B76C63A2F76CF43F5DFF09898F954540
27422,09039,LA BASTIDE DE BOUSIGNAC,09500,LA BASTIDE DE BOUSIGNAC,NULL,0101000020E61000005A677C5F5C0AFE3F507FAC96AA874540
27423,09040,LA BASTIDE DE LORDAT,09700,LA BASTIDE DE LORDAT,NULL,0101000020E6100000B08BA2073E66FB3FD8F96D3EE4914540
27424,09041,LA BASTIDE DU SALAT,09160,LA BASTIDE DU SALAT,NULL,0101000020E610000082A2C38DA509F03F60F426D0F1874540
27425,09042,LA BASTIDE DE SEROU,09240,LA BASTIDE DE SEROU,NULL,0101000020E6100000423E8D203AC9F63F8ACBF10A44834540
27426,09043,LA BASTIDE SUR L HERS,09600,LA BASTIDE SUR L HERS,NULL,0101000020E6100000AB14F18C6C6DFE3F5213D8F73C794540
27427,09044,BAULOU,09000,BAULOU,NULL,0101000020E6100000E15C68531AA6F83F5242B0AA5E824540
27428,09045,BEDEILHAC ET AYNAT,09400,BEDEILHAC ET AYNAT,NULL,0101000020E6100000848A60D2CE0FF93FBE993D75D1704540
27429,09046,BEDEILLE,09230,BEDEILLE,NULL,0101000020E61000007935E5AF3590F13FAD7D4B4A8B8A4540
27430,09047,BELESTA,09300,BELESTA,NULL,0101000020E6100000E46FD63B3738FF3F5A3222AC21724540
27431,09048,BELLOC,09600,BELLOC,NULL,0101000020E6100000D2D6D2ED36E9FE3F4251EADCFE804540
27432,09049,BENAC,09000,BENAC,NULL,0101000020E61000001E5A1AAEC472F83F2BA1BB24CE7A4540
27433,09050,BENAGUES,09100,BENAGUES,NULL,0101000020E61000003718EAB0C2BDF93F87FFCFBCF7894540
27434,09051,BENAIX,09300,BENAIX,NULL,0101000020E610000078FEA325459AFD3FD24AC6D658724540
27435,09052,BESSET,09500,BESSET,NULL,0101000020E6100000927648D6868FFD3F08EF61E586894540
27436,09053,BESTIAC,09250,BESTIAC,NULL,0101000020E6100000F7ED7FDB6ECDFC3F2058FA754C644540
27437,09054,BETCHAT,09160,BETCHAT,NULL,0101000020E61000009A5E622CD37FF03F5329D1ED008B4540
27438,09055,BETHMALE,09800,BETHMALE,NULL,0101000020E610000040225CB7F73FF13F3C592030456C4540
27439,09056,BEZAC,09100,BEZAC,NULL,0101000020E61000008EC580368309F93FF01FC14307944540
